Grootteorde anomalie(ën);Anomalie(ën) gedetecteerd;Holte (m);Opgeruimd door firma;Opgeruimd tot op;Code;Bouwjaar;Afgedregde diepte (m);Afgedregd op;Easting;Northing;Wrak Type;Gevonden door;Gevonden op;Tonnenmaat bruto;Kroniek;Lengte (m);Breedte (m);Naam bevestigd;Beschermd als War Grave (GB);Materiaal;Diepte ondiepste punt (m, t.o.v. LAT);Recentste magnetometriemeting op;Recentste multibeammeting absolute hoogte (m);Recentste multibeammeting strekking (°);Recentste multibeammeting op;Recentste multibeammeting lengte (m);Recentste multibeammeting coördinaten ondiepste punt (lat-long);Recentste multibeammeting ondiepste punt (m, tov LAT);Recentste multibeammeting min. diepte omringende bodem (m, tov LAT);Recentste multibeammeting breedte (m);Recentste Berichten aan Zeevarenden;Recentste side scan sonarmeting strekking (°);Recentste side scan sonarmeting op;Recentste side scan sonarmeting lengte (m);Recentste side scan sonarmeting breedte (m);Recentste multibeammeting;Naam;Vlaggenstaat;Oude benamingen;Eigenaar;Beschermd als cultureel erfgoed onder water;Toestand;Geborgen op;Werf;Teken op kaart;Staat;Gezonken tijdens oorlogsdienst;Gezonken op;Type;Heeft Historische Beelden;Heeft Sounding Beelden;Heeft Pointcloud;
;;;;;BE-115-256-05;;;;496108.2;5678009.7;Wrak;;;;"Dit wrak betreft mogelijks de Corsaire II, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de Corsaire. 

De Corsaire II verging om 10u30, tijdens een storm met windkracht 11.";;;Neen;Neen;Polyester;3.6;;;;;;;5.0;;;;;;;;;CORSAIRE II;Verenigd Koninkrijk;;;;;;;3.5 Wk;Stukgeslagen;Neen;07/07/1969;Zeiljacht;0.0;0.0;0.0;
;;2.7;;;BE-122-243-03;1917.0;17.5;12/12/1983;480696.3;5691948.3;Wrak;;;1100.0;"De Wakeful was één van de oudere Destroyers die waren ingezet om geallieerde soldaten uit Duinkerke weg te halen. 
Na enkele zeer succesvolle eerste dagen keerde in de nacht van 29 op 30 mei 1940 zijn geluk. 
Om 00u45 lag het ter hoogte van de Kwintebank, met 650 manschappen (allen benedendeks) aan boord. 
De kapitein en één van zijn uitkijken merkten in de duisternis de fosforescerende gloed op van 2 torpedosporen die richting stuurboord kwamen toegesneld. 
De eerste torpedo kon goed ontweken worden, maar de tweede ontplofte middenscheeps, ter hoogte van de tweede stookruimte. 
Het oude schip kwam bruusk tot stilstand en scheurde open. De twee delen kwamen verticaal zo'n twintigtal meter uit het water gerezen. 
Slechts 15 seconden na de impact was het schip vergaan. 
Enkele bemanningsleden en enkele soldaten overleefden het ongeval, meer dan 700 mannen haalden het niet. ";91.4;8.2;Ja;Ja;Staal;20.0;;4.0;148.3;06/11/2020;43.5;"480692.39; 5691952.71";20.0;24.0;11.4;2014 / 13-203;;;;;;HMS WAKEFUL (H88) - voorschip;Verenigd Koninkrijk;nvt;Royal Navy, UK;Cultureel erfgoed;Het wrak van de Wakeful is in zeer slechte staat.;;John Brown & Co. Ltd., Clydebank, UK;20 Wk;Gebroken;WO II;29/05/1940;Torpedobootjager;1.0;1.0;1.0;
;;10.6;Van Gastel NV;bodem;BE-122-307-01;1944.0;;;508203.0;5690706.0;Wrak;;;7244.0;"De SS Eleftheria voer op 22 maart 1945 in konvooi van de ankerplaats in het Pas van Terneuzen naar South-end. Het had een loods aan boord om de kapitein te wijzen op nieuwe mijnenvelden. 
Toen het konvooi zich op een mijl ten westen van boei NF 11 bevond raakte de SS Charles D. McIver een mijn. 
Op de SS Eleftheria werden de motoren stilgelegd om de Charles D. McIver hulp te kunnen bieden. Niet veel later raakte ook de SS Eleftheria een mijn. 
Het voor- en achterschip rezen in een V-vorm uit het water en werden slechts door het stalen bovendek bij elkaar gehouden. 
Stoomreddingsboot HM LST 430 kon 137 overlevenden van SS Eleftheria en SS Charles D. McIver in Terneuzen afzetten.
Eén iemand liet het leven op de Eleftheria.";134.6;17.3;Ja;Neen;Staal;8.6;;1.1;153.3;15/06/2023;58.2;"508210; 5690688";8.6;9.7;4.5;1956 / 06-028;;;;;;SS ELEFTHERIA;Griekenland;SS I.B. PERRINE;Griekse Overheid, GR;;"Na de oorlog werd getracht dit wrak in te delven met behulp van dieptebommen. Dit lukte aardig met het voorschip, maar het achterschip zorgde voor problemen.
Het wrak vormde nog een redelijk obstakel door delen die nog   boven het omringende bodemreliëf uitsteken.";10/04/1956;Todd-Houston Shipbuilding Co., Houston, US;#;Geborgen;WO II;22/03/1945;Vrachtschip;1.0;1.0;1.0;
;;1.5;Tijdelijke Vereniging van Bergingswerken;bodem;BE-115-253-03;1915.0;5.5;;492107.8;5678191.1;Wrak;;;137.0;Tijdens een normale patrouille in de nacht van 6 op 7 februari, samen met A-9, vaarde A-10 op een Britse mijn. Het voorschip werd afgerukt tot aan het eerste stookruim. Het achterschip bleef nog even drijven. ;41.6;4.6;Ja;Neen;Staal;7.3;;-0.6;;31/01/2024;3.6;492086     5678184;7.3;8.0;2.4;1990 / 15-106;;;;;;torpedoboot A-10;Duitsland;nvt;Keizerlijke Marine, DE;;brokstuk;;AG Vulcan, Hamburg, DE;#;Geborgen;WO I;07/02/1918;Torpedoboot;;;;
;;;;;BE-146-243-01;;;;480852.0;5735304.0;Wrak;TER STREEP (VH);07/06/2016;;;;;Neen;Neen;;31.3;;2.7;229.0;25/03/2022;40.0;;32.0;34.0;9.5;;;;;;;onbekend;;;;;;;;geen;;;;;0.0;1.0;0.0;
;;5.8;;;BE-121-223-01;1919.0;22.7;29/10/1987;456975.9;5689179.6;Wrak;;;2365.0;"SS Halo was op 22 januari 1945 op weg van Caen naar Antwerpen, met aan boord spoorbiels en overheidsvoorraden.
Het bevond zich in de staart van een klein konvooi, hetwelk aangevallen werd door twee Schnellboote. Zij konden om 22u54 de Halo torpederen.
Het voorschip brak af en verging onmiddellijk. Het achterschip werd nog even op sleep genomen maar verging even later. 
Alle bemanningsleden konden worden gered.";86.7;12.8;Ja;Neen;Staal;32.8;;;227.1;22/09/1995;65.0;;32.8;;10.8;1997 / 05-069;;;;;;SS HALO;Verenigd Koninkrijk;SS WAR BRIGADE;Gas Light & Coke Co., Greenock, UK;;De Halo maakt deel uit van de wrakken die na de oorlog genivelleerd werden.;;Dublin Dockyard Co., Dublin, IE;22,0 Wk_;Verzand, geen zichtbare resten;Neen;22/01/1945;Vrachtschip;0.0;0.0;0.0;
;;;Tijdelijke Vereniging voor Bergingswerken;bodem;BE-122-306-01;1928.0;;;507638.7;5691478.0;Wrak;;;2219.0;"De Z.438 werd omstreeks 11 uur in de ochtend aangevaren door de Nederlands BR5 Abraham en verging door de opgelopen schade.
De drie opvarenden konden overspringen op de BR5 en werden naar Zeebrugge terug gebracht.";;;Ja;Neen;Hout;9.7;;-0.3;40.9;06/03/2024;2.7;507624     5691469;9.7;9.9;2.4;1989 / 03-060;;;;;;Z.438 KOMPAS;België;42 KOMPAS, Z.52 KOMPAS, B.52 KOMPAS, ;Fam. Huysseune, Zeebrugge, BE;;;19/06/1986;J. Haerinck, Heist, BE;#;Geborgen;Neen;11/08/1975;Vissersboot;1.0;1.0;0.0;
;;;;;BE-115-256-02;1890.0;;16/10/1984;496114.1;5678006.0;Wrak;;;;Mede door zijn ligging kan aangenomen worden dat het een 19e-eeuwse bark betreft, die bij stormweer de haven van Oostende miste en strandde.;;;Neen;Neen;Staal;3.5;;2.1;;02/12/2015;65.0;"496092.69; 5678025.45";3.5;5.6;;1996 / 15-121;;;;;;onbekend;;;;;;;;3,5 Wk_;Intact, deels verzand;Neen;;Bark;0.0;1.0;1.0;
;;;;;BE-140-243-01;1955.0;;;481212.9;5724686.8;Wrak;;;246.0;"De Z.511 zou gezonken zijn na aanvaring met een drijvend wrak. 
Er was echter geen melding gemaakt van zulk wrak. Mogelijks ging het hier om een drijvende container. 
De Z.511 werd op sleep genomen door de Z.550 waardoor ook deze in de problemen kwam. 
Om 7u15 kapseisde de Z.511 en verging. ";;;Ja;Neen;Hout;31.6;;;;;;;31.6;;;1994 / 28-353;;;;;;Z.511 NORMANDIE;België;nvt;Marcel Kerschaver, Brugge, BE;;Door de zware boomkorvisserij op de site zijn de resten uiteengeslagen en verspreid.;;Haerinck, Heist aan Zee, BE;30,5 Wk;Verspreid;Neen;23/03/1977;Vissersboot;1.0;0.0;0.0;
;;;;;BE-109-230-01;;12.7;22/05/1985;465125.4;5668036.6;Wrak;;;;;;;Neen;Neen;Hout;14.0;;1.5;351.2;18/02/2025;11.9;465123   5668039;14.0;15.6;7.9;1997 / 05-069;;;;;;onbekend;;;;;Het wrak is onderhevig aan het verschuiven van de Smalbank. Niet meer herkenbaar als schip. Er liggen ook een groot aantal zware houten balken die niet tot het schip behoren en een paar treinwielen. ;;;12,7 Wk_;Enkele fragmenten;;;Ferry;;;;
